Арга аргачлал,Ашиглагдаж буй стандарт ,"Агуулагын хэмжээ, %",Тохирцын зөрүү ,Таарцын зөрүү 
LAB.07.02 Нийт чийг тодорхойлох,MNS ISO 589:2003,10% -иас бага,0.50%,Таарцыг тооцоолоход хангалттай нотолгоо байхгүй бол тул өөр лабораторид хийсэн тодорхойлолтод таарцын ямар ч утгыг иш татахгүй
,,10% ба түүнээс их,Үр дүнгийн утгын 1/2,
LAB.07.03 Дотоод чийг тодорхойлох,MNS GB/T 212:2015,<0.5,0.20,-
,,5.0-10.0,0.30,
,,>10,0.40,
LAB.07.04 Дэгдэмхий бодисын гарц,MNS GB/T 212:2015,,Vad,Vd
,,<20.00,0.30,0.50
,,20.00-40.00,0.50,1.00
,,>40.00,0.80,1.50
LAB.07.05 Үнслэг тодорхойлох,MNS GB/T 212:2015,,Aad,Ad
,,<15,0.20,0.30
,,15.00-30.00,0.30,0.50
,,>30,0.50,0.70
LAB.07.06 Хөөлтийн зэрэг тодорхойлох,MNS ISO 501:2003,,0.50,1.00
LAB.07.07 Барьцалдах (бөсөх) чадвар тодорхойлох,MNS ISO 15585:2014,>18,3.00,4.00
,,<18,1.00,2.00
LAB.07.08 Нийт хүхэр тодорхойлох,MNS ISO 351:2001,<2,0.05,0.10
,,2.00-5.00,0.10,0.20
,,>5,0.15,0.30
LAB.07.09 Фосфор тодорхойлох,ASTM D4326-13,<0.2,0.007,0.009
,,>0.2,0.01,0.015
LAB.07.10 Нийт хлор тодорхойлох,GB/T 3558-2014,≤150μг/г,15μг/г,20μг/г
,,≥150μг/г,10%,15%
LAB.07.10 Нийт фтор тодорхойлох,GB/T 4633-2014,-,0.01,0.02
LAB.07.12 Илчлэгийн нийт утга тодорхойлох,MNS ISO 1928:2009,-,"Qgr,ad","Qgr,d"
,,,120,300
LAB.07.13 Пластометрийн үзүүлэлт тодорхойлох,MNS GB/T 479:2015,Ү индекс (>20мм),<2мм,-
,,Ү индекс (<20мм),<1мм,-
LAB.07.11 Харьцангуй нягт тодорхойлох,MNS GB/T 217:2015,,,
LAB.07.11 Харьцангуй нягт тодорхойлох,MNS GB/T 217:2015,,0.02,0.04
,,,,
